Employee Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
Name,Fall 2020 - Staff Remote Learning Pulse Survey (Public),How to Improve Remote Learning,Overall Perceptions of Remote Learning,School Climate & Culture,Technology Challenges with Remote Learning,Spring 2019 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2018 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2017 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2016 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture,Spring 2015 - Staff Climate Survey,Overall,Instructional Practice,Professional Culture
Northgate,,23.0,34.0,75.0,28.0,,62.0,60.0,65.0,,61.0,64.0,57.0,,66.0,63.0,70.0,,70.0,60.0,81.0,,76.0,66.0,86.0
Olympic Hills,,27.0,34.0,94.0,28.0,,81.0,82.0,81.0,,84.0,86.0,81.0,,91.0,91.0,92.0,,62.0,66.0,58.0,,74.0,78.0,70.0
Olympic View,,26.0,48.0,87.0,37.0,,73.0,70.0,75.0,,68.0,67.0,70.0,,78.0,70.0,87.0,,63.0,59.0,68.0,,69.0,65.0,74.0
Orca (K-8),,21.0,44.0,87.0,20.0,,73.0,72.0,76.0,,57.0,44.0,72.0,,70.0,56.0,85.0,,45.0,38.0,53.0,,37.0,27.0,48.0
Pathfinder (K-8),,36.0,48.0,83.0,30.0,,65.0,62.0,69.0,,57.0,52.0,64.0,,65.0,58.0,72.0,,68.0,67.0,69.0,,66.0,63.0,70.0
Rainier Beach,,33.0,45.0,85.0,43.0,,60.0,57.0,63.0,,54.0,49.0,59.0,,57.0,54.0,61.0,,55.0,50.0,61.0,,71.0,69.0,73.0
Rainier View,,27.0,34.0,60.0,33.0,,65.0,63.0,67.0,,69.0,64.0,74.0,,85.0,81.0,89.0,,62.0,66.0,58.0,,83.0,89.0,77.0
Roosevelt,,19.0,36.0,75.0,41.0,,51.0,47.0,57.0,,56.0,50.0,64.0,,61.0,53.0,70.0,,59.0,51.0,68.0,,68.0,63.0,73.0
Roxhill,,29.0,41.0,87.0,25.0,,72.0,73.0,72.0,,65.0,64.0,67.0,,71.0,66.0,76.0,,62.0,59.0,66.0,,64.0,66.0,63.0
Sacajawea,,28.0,42.0,92.0,29.0,,72.0,71.0,74.0,,60.0,61.0,59.0,,59.0,51.0,67.0,,62.0,53.0,72.0,,65.0,62.0,67.0
Salmon Bay (K-8),,24.0,54.0,90.0,36.0,,75.0,69.0,81.0,,71.0,67.0,77.0,,67.0,61.0,74.0,,67.0,58.0,77.0,,60.0,51.0,71.0
Sand Point,,20.0,29.0,75.0,25.0,,61.0,57.0,66.0,,55.0,52.0,58.0,,33.0,31.0,35.0,,54.0,54.0,55.0,,69.0,67.0,72.0
Sanislo,,24.0,61.0,78.0,37.0,,76.0,68.0,84.0,,77.0,71.0,83.0,,69.0,61.0,77.0,,72.0,66.0,79.0,,77.0,67.0,88.0
South Lake,,17.0,43.0,78.0,44.0,,76.0,69.0,84.0,,56.0,51.0,62.0,,37.0,31.0,44.0,,64.0,57.0,73.0,,80.0,76.0,86.0
South Shore (K-8),,21.0,33.0,84.0,27.0,,46.0,43.0,50.0,,50.0,45.0,57.0,,50.0,52.0,48.0,,37.0,35.0,40.0,,54.0,47.0,63.0
Stevens,,24.0,33.0,89.0,29.0,,56.0,53.0,59.0,,71.0,66.0,76.0,,71.0,66.0,76.0,,38.0,40.0,36.0,,55.0,56.0,55.0
TOPS (K-8),,30.0,50.0,88.0,36.0,,63.0,64.0,63.0,,56.0,50.0,62.0,,66.0,60.0,72.0,,71.0,64.0,79.0,,46.0,44.0,49.0
The Center School,,26.0,36.0,74.0,37.0,,61.0,54.0,68.0,,62.0,47.0,79.0,,70.0,52.0,89.0,,49.0,40.0,60.0,,52.0,43.0,63.0
Thornton Creek,,16.0,43.0,89.0,18.0,,65.0,72.0,57.0,,74.0,70.0,79.0,,84.0,82.0,86.0,,88.0,84.0,91.0,,84.0,79.0,89.0
Thurgood Marshall,,23.0,42.0,83.0,24.0,,76.0,73.0,79.0,,71.0,67.0,74.0,,75.0,71.0,80.0,,76.0,74.0,80.0,,78.0,77.0,79.0
